Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
0.000275,0,2.24908,10,5.04953,0.5,0.426597,5,0.5,0.688558,5,0.5
0.000276,0,2.25403,10,5.05807,0.6,0.426379,5,0.6,0.688341,5,0.6
0.000277,0,2.25907,10,5.06531,0.7,0.426189,5,0.7,0.688224,5,0.7
0.000278,0,2.26418,10,5.07085,0.8,0.426018,5,0.8,0.688173,5,0.8
0.000279,0,2.26938,10,5.07474,0.9,0.425874,5,0.9,0.688213,5,0.9
0.00028,0,2.27466,10,5.07701,1,0.425758,5,1,0.688342,5,1
0.000281,1,2.28004,10,5.08001,0.1,0.425669,5,0.1,0.688558,5,0.1
0.000282,1,2.28537,10,5.08498,0.2,0.425566,5,0.2,0.688722,5,0.2
0.000283,1,2.29056,10,5.09142,0.3,0.425424,5,0.3,0.688759,5,0.3
0.000284,1,2.29566,10,5.09976,0.4,0.425251,5,0.4,0.688699,5,0.4
0.000285,0,2.30064,10,5.10874,0.5,0.425039,5,0.5,0.688514,5,0.5
0.000286,0,2.30557,10,5.11586,0.6,0.42481,5,0.6,0.688279,5,0.6
0.000287,0,2.3106,10,5.1217,0.7,0.42461,5,0.7,0.688145,5,0.7
0.000288,0,2.31569,10,5.12587,0.8,0.42443,5,0.8,0.688077,5,0.8
0.000289,0,2.32088,10,5.1284,0.9,0.424277,5,0.9,0.6881,5,0.9
0.00029,0,2.32615,10,5.12933,1,0.424152,5,1,0.688212,5,1
0.000291,1,2.33152,10,5.131,0.1,0.424055,5,0.1,0.688412,5,0.1
0.000292,1,2.33683,10,5.13467,0.2,0.423944,5,0.2,0.68856,5,0.2
0.000293,1,2.34201,10,5.13982,0.3,0.423794,5,0.3,0.688581,5,0.3
0.000294,1,2.3471,10,5.14689,0.4,0.423615,5,0.4,0.688506,5,0.4
0.000295,0,2.35207,10,5.15456,0.5,0.423397,5,0.5,0.688306,5,0.5
0.000296,0,2.35699,10,5.16039,0.6,0.423163,5,0.6,0.68806,5,0.6
0.000297,0,2.36201,10,5.16496,0.7,0.422958,5,0.7,0.687914,5,0.7
0.000298,0,2.3671,10,5.16787,0.8,0.422774,5,0.8,0.687835,5,0.8
0.000299,0,2.37227,10,5.16916,0.9,0.422618,5,0.9,0.687848,5,0.9
0.0003,0,2.37754,10,5.16887,1,0.42249,5,1,0.687949,5,1
0.000301,1,2.3829,10,5.16935,0.1,0.422391,5,0.1,0.688139,5,0.1
